REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 2.712	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 2.829	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.019	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.246	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.315	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.358	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.317	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.366	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.461	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.447	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.525	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.548	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.602	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.644	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.725	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.678	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.776	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.768	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.834	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.794	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.890	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.895	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.864	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.899	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.946	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.919	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.965	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.911	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.001	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.984	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.986	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.012	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.057	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.998	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.997	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.067	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.058	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.053	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.040	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.098	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.107	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.102	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.093	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.075	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.099	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.112	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.112	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.116	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.129	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.989	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.998	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.994	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.026	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.026	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.037	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.021	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.967	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.970	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 3.991	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.025	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.038	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.015	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.028	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.038	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.047	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.049	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.064	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.066	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.077	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.090	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.095	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.085	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.087	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.083	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.095	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.103	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.103	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.098	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.092	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.093	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.098	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.086	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.090	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.090	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.082	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.112	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.129	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.128	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.121	 16000	wb
wavFiles_pad/1.wav	 tempDegrCBR.wav	 -1.000	 4.124	 16000	wb
